what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546653595
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546660850
activated,view,org.eclipse.debug.ui,3.10.2.v20141014-1039,"org.eclipse.debug.ui.DebugView",1468546666870
started,bundle,org.eclipse.ui.navigator,3.5.401.v20140724-1117,"org.eclipse.ui.navigator",1468546667045
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1468546667597
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1468546667638
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468546668011
closed,view,org.eclipse.debug.ui,3.10.2.v20141014-1039,"org.eclipse.debug.ui.DebugView",1468546668051
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1468546668246
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468546668951
closed,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1468546668996
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1468546677010
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468546677359
opened,view,org.eclipse.ui.ide,3.10.2.v20141118-1227,"org.eclipse.ui.views.TaskList",1468546680920
activated,view,org.eclipse.ui.ide,3.10.2.v20141118-1227,"org.eclipse.ui.views.TaskList",1468546681115
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1468546683442
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468546683596
closed,view,org.eclipse.ui.ide,3.10.2.v20141118-1227,"org.eclipse.ui.views.TaskList",1468546683617
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468546687113
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1468546687146
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468546690049
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546691760
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546703784
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468546704097
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468546704390
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468546773470
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546775870
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546776331
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468546835995
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468546852930
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546854985
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546855222
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546867807
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546867990
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468546880859
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468546895344
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546897097
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546897533
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546911600
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468546911790
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468546922273
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.saveAll",1468546943805
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1468547129659
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547133385
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468547135628
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547136971
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547137141
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.delete",1468547139746
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.saveAll",1468547142657
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1468547148159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547175888
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468547211551
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547213352
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547222446
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547222739
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547223025
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547269803
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547273299
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547274090
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547293699
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468547300716
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547302083
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547302221
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468547321159
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468547345607
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468547390560
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468547415136
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.delete",1468547430762
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.saveAll",1468547436248
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1468547557973
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547563248
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.saveAll",1468547568788
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1468547573330
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547578853
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547597403
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547620223
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547621775
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547652630
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547657505
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547660190
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547670742
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547676579
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547680689
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547684810
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468547708217
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547711506
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547720372
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547720671
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547720952
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547779185
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547779364
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468547800036
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.saveAll",1468547806458
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1468547810696
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547818795
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468547918468
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.saveAll",1468547923850
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1468547925741
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468547931157
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468547972677
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468548004251
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1468548004469
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468548009532
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468548020342
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468548030630
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468548084656
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1468548084863
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1468548122098
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.saveAll",1468548127744
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1468548130499
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468548160824
